key,english_source,current_tamil_translation,status,reviewer_notes
jobs.card.time.hours_ago,{{h}}h ago,{{h}} மணி முன்,translated,
jobs.card.time.days_ago,{{d}}d ago,{{d}} நாள் முன்,translated,
jobs.selection.cancel,Cancel,ரத்து,translated,
jobs.selection.count_selected,{{count}} selected,{{count}} தேர்ந்தெடுக்கப்பட்டது,translated,
jobs.selection.long_press_hint,Long-press to add or remove,சேர்க்க அல்லது அகற்ற நீண்ட நேரம் அழுத்தவும்,translated,
jobs.selection.applying,Applying…,விண்ணப்பிக்கப்படுகிறது…,translated,
jobs.selection.apply_to_count,Apply to {{count}},{{count}} க்கு விண்ணப்பி,translated,
jobs.swipe.title,Same-day swipe,இன்றைய ஸ்வைப்,translated,
jobs.swipe.hint,Swipe right to express interest · left to skip · up to save,ஆர்வத்தைத் தெரிவிக்க வலதுபுறம் ஸ்வைப் செய்யவும் · தவிர்க்க இடதுபுறம் · சேமிக்க மேலே,translated,
jobs.swipe.empty_eyebrow,THAT'S ALL,அவ்வளவுதான்,translated,
jobs.swipe.empty_title,No more jobs today,இன்று மேலும் வேலைகள் இல்லை,translated,
jobs.swipe.empty_message,"Try the full list, or come back later — new urgent posts land throughout the day.",முழுப் பட்டியலை முயற்சிக்கவும் அல்லது பின்னர் வாருங்கள் — நாள் முழுவதும் புதிய அவசர பதிவுகள் வரும்.,translated,
jobs.swipe.tap_for_details,Tap to see full details,முழு விவரங்களுக்கு தட்டவும்,translated,
jobs.swipe.fallback_employer,Employer,முதலாளி,translated,
jobs.swipe.overlay_interested,INTERESTED,ஆர்வம்,translated,
jobs.swipe.overlay_skip,SKIP,தவிர்,translated,
jobs.swipe.overlay_save,SAVE,சேமி,translated,
jobs.swipe.entry_title,Same-day swipe,அன்றைய ஸ்வைப்,translated,
jobs.swipe.entry_subtitle,Swipe through today's urgent jobs,இன்றைய அவசர வேலைகளை ஸ்வைப் செய்யுங்கள்,translated,
jobs.change_location,Change,மாற்று,translated,
jobs.no_jobs_in_place.title,No jobs in {{place}} yet,{{place}} இல் இன்னும் வேலைகள் இல்லை,translated,
jobs.no_jobs_in_place.message,"Try a wider distance, or get notified when a job opens here.","அதிக தூரத்தை முயற்சிக்கவும், அல்லது இங்கே வேலை திறக்கும்போது அறிவிப்பு பெறுங்கள்.",translated,
jobs.no_jobs_in_place.notify,Notify me,எனக்கு அறிவி,translated,
jobs.clear_location,Clear location,இடத்தை அழி,translated,
jobs.hiring_requests_banner.title_one,{{count}} employer wants to hire you,{{count}} முதலாளி உங்களை வேலைக்கு அமர்த்த விரும்புகிறார்,translated,
jobs.hiring_requests_banner.title_other,{{count}} employers want to hire you,{{count}} முதலாளிகள் உங்களை வேலைக்கு அமர்த்த விரும்புகிறார்கள்,translated,
jobs.hiring_requests_banner.subtitle,Tap to view and respond,பார்க்கவும் பதிலளிக்கவும் தட்டவும்,translated,
job_detail.report_wage_issue_cta,Report a wage issue,,MISSING — needs translation,
job_detail.apply_now,Apply Now,இப்போது விண்ணப்பி,translated,
job_detail.applied,Applied ✓,விண்ணப்பித்தது ✓,translated,
job_detail.im_interested,✋ I'm interested,✋ எனக்கு ஆர்வம் உள்ளது,translated,
job_detail.interest_sent,✓ Interest sent,✓ ஆர்வம் அனுப்பப்பட்டது,translated,
job_detail.sending,Sending…,அனுப்பப்படுகிறது…,translated,
job_detail.call_employer,📞 Call employer,📞 அழைப்பு,translated,
job_detail.cover_letter,Cover letter,கவர் கடிதம்,translated,
job_detail.cover_letter_optional,optional,விருப்பம்,translated,
job_detail.cover_letter_hint,Tell the employer why you're the right person.,நீங்களே சரியான நபர் என்று முதலாளியிடம் சொல்லுங்கள்.,translated,
job_detail.header_title,Job Details,வேலை விவரங்கள்,translated,
job_detail.header.share_a11y,Share this job,இந்த வேலையைப் பகிர்,translated,
job_detail.header.save_offline_a11y,Save for offline,ஆஃப்லைனுக்காகச் சேமி,translated,
job_detail.header.remove_offline_a11y,Remove from offline,ஆஃப்லைனில் இருந்து அகற்று,translated,
job_detail.load_error.eyebrow,UNAVAILABLE,கிடைக்கவில்லை,translated,
job_detail.load_error.title,Couldn't load this job,இந்த வேலையை ஏற்ற முடியவில்லை,translated,
job_detail.load_error.message,"It may have been removed, or your connection dropped.",இது அகற்றப்பட்டிருக்கலாம் அல்லது உங்கள் இணைப்பு துண்டிக்கப்பட்டது.,translated,
job_detail.load_error.close,Close,மூடு,translated,
job_detail.share.urgent_line,⚡ Urgent — start soon,⚡ அவசரம் — விரைவில் தொடங்க,translated,
job_detail.share.see_apply,See and apply on Doondo:,Doondo-வில் பார்த்து விண்ணப்பிக்கவும்:,translated,
job_detail.share.referral_bonus,"💰 If you get hired, I earn a ₹100 referral bonus.",💰 நீங்கள் பணியமர்த்தப்பட்டால் நான் ₹100 பரிந்துரை போனஸ் பெறுவேன்.,translated,
job_detail.section.description,Job Description,வேலை விவரம்,translated,
job_detail.section.requirements,Requirements,தேவைகள்,translated,
job_detail.cover_letter_field.placeholder,e.g. I have 4 years of office admin experience and I can start immediately. Comfortable with Tally and Excel.,எ.கா. எனக்கு 4 ஆண்டுகள் அலுவலக நிர்வாக அனுபவம் உள்ளது மற்றும் உடனடியாகத் தொடங்க முடியும். Tally மற்றும் Excel-இல் வசதியாக இருக்கிறேன்.,translated,
